volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,sulphates,alcohol,quality
0.5,0.34,0.082,5,14,0.52,10.7,6
0.61,0.08,0.082,26,108,0.51,9.4,5
0.55,0.09,0.068,8,17,0.44,10,5
0.585,0,0.044,14,86,0.94,12.9,7
0.56,0.08,0.114,14,46,0.66,9.6,6
0.52,0.22,0.084,4,18,0.57,9.9,6
0.28,0.4,0.052,4,10,0.7,12.8,7
0.25,0.39,0.041,4,10,0.71,12.5,7
0.28,0.4,0.052,4,10,0.7,12.8,7
0.53,0.12,0.165,4,12,0.86,9.2,5
0.48,0.31,0.07,4,15,0.55,10.3,6
0.49,0.1,0.068,4,14,0.47,10.5,5
0.5,0.55,0.072,7,24,0.68,10.9,6
0.45,0.33,0.099,20,38,0.71,10.8,5
0.39,0.24,0.102,4,7,0.58,11.4,4
0.41,0.54,0.103,19,41,0.76,11.3,6
0.45,0.33,0.099,20,38,0.71,10.8,5
0.51,0.19,0.081,8,30,0.58,10.5,6
0.29,0.42,0.084,19,27,0.73,11.9,6
0.715,0,0.071,21,47,0.45,9.4,5
0.66,0.15,0.097,9,59,0.54,9.6,5
0.685,0,0.099,9,22,0.6,9.7,5
0.42,0,0.048,16,42,0.74,14,7
0.54,0.13,0.076,15,36,0.64,9.8,5
0.54,0.13,0.076,15,36,0.64,9.8,5
0.48,0.28,0.068,6,16,0.53,10.3,5
0.46,0.14,0.076,15,37,0.49,10.7,5
0.27,0.34,0.05,4,8,0.64,11,7
0.46,0.14,0.076,15,37,0.49,10.7,5
0.57,0.09,0.065,34,45,0.74,12.7,8
0.61,0.08,0.071,16,24,0.77,11.1,6
0.685,0.07,0.058,5,9,0.55,10.9,4
0.61,0.08,0.071,16,24,0.77,11.1,6
0.44,0.42,0.145,34,48,0.86,9.9,3
0.47,0.44,0.147,36,51,0.86,9.9,4
0.685,0.26,0.088,16,23,0.47,9.4,5
0.665,0.1,0.066,27,55,0.51,9.3,5
0.28,0.28,0.012,36,100,0.39,11.7,7
0.28,0.28,0.012,36,100,0.39,11.7,7
0.31,0.35,0.075,9,28,0.83,11.2,7
0.5,0.04,0.092,13,26,0.47,10,5
0.42,0.47,0.085,9,34,0.77,12.1,7
0.66,0,0.115,21,31,0.63,10.3,5
0.5,0.45,0.119,34,68,0.72,10.9,6
0.685,0.35,0.088,9,92,0.62,9.4,5
0.25,0.46,0.062,26,42,0.83,10.6,6
0.64,0.21,0.081,14,31,0.66,9.8,5
0.64,0.21,0.081,14,31,0.66,9.8,5
0.68,0.16,0.078,12,39,0.7,9.9,6
0.64,0.21,0.081,14,31,0.66,9.8,5
0.63,0.21,0.08,12,32,0.66,9.8,5
0.43,0.44,0.085,9,22,0.55,9.5,5
0.43,0.44,0.085,9,22,0.55,9.5,5
0.42,0.32,0.08,26,122,1.07,9.7,5
0.36,0.39,0.08,41,55,0.73,10.9,6
0.36,0.39,0.08,41,55,0.73,10.9,6
0.735,0.02,0.071,10,14,0.71,11.7,7
0.36,0.39,0.08,41,55,0.73,10.9,6
0.26,0.34,0.073,16,47,0.78,11.3,7
0.28,0.47,0.054,17,32,0.67,10.6,7
0.56,0.22,0.074,15,24,0.82,11.2,6
0.62,0.06,0.077,15,85,0.54,9.5,5
1.01,0.66,0.039,15,88,0.6,11.5,6
0.42,0.32,0.067,7,25,0.44,10.4,5
0.62,0.06,0.078,17,84,0.53,9.7,5
0.62,0.06,0.077,15,85,0.54,9.5,5
0.635,0.07,0.077,16,86,0.54,9.7,5
0.49,0.22,0.071,13,24,0.83,11.3,6
0.51,0.23,0.072,13,22,0.84,11.2,6
0.56,0.22,0.074,15,24,0.82,11.2,6
0.63,0.03,0.08,27,43,0.64,10.9,6
0.715,0.01,0.064,31,43,0.57,11.8,6
0.56,0.03,0.086,36,46,0.57,10.6,5
0.35,0.24,0.067,28,48,0.54,10,4
0.21,0.37,0.067,6,10,0.58,11.1,7
0.38,0.46,0.104,6,10,0.65,11.8,7
0.31,0.4,0.109,7,16,0.79,11.8,7
0.47,0,0.067,7,14,0.58,10.9,4
0.715,0.01,0.064,31,43,0.57,11.8,6
0.61,0.19,0.094,30,69,0.5,10,6
0.6,0.04,0.076,18,88,0.55,9.5,5
0.56,0.18,0.078,10,21,0.49,9.9,5
0.715,0,0.068,30,35,0.65,11.4,6
0.31,0.29,0.194,14,26,0.78,12,6
0.6,0.04,0.076,18,88,0.55,9.5,5
0.61,0.19,0.094,30,69,0.5,10,6
0.75,0.14,0.086,9,30,0.64,10.5,5
0.8,0.12,0.083,8,28,0.65,10.4,6
0.52,0.38,0.066,29,56,0.79,12.1,7
0.57,0,0.072,32,64,0.56,11.2,6
0.9,0.34,0.112,23,99,0.68,9.3,5
0.34,0.24,0.071,30,52,0.58,10.1,5
0.66,0.03,0.078,16,86,0.57,9.7,5
0.45,0.23,0.082,10,18,0.65,9.3,6
0.66,0.03,0.078,16,86,0.57,9.7,5
0.63,0.03,0.08,17,88,0.58,9.8,6
0.59,0.01,0.08,27,43,0.58,10.7,6
0.31,0.39,0.078,17,43,0.77,12.5,7
0.59,0.01,0.08,27,43,0.58,10.7,6
0.31,0.39,0.078,17,43,0.77,12.5,7
1.02,0.02,0.084,6,11,0.49,11,3
0.31,0.36,0.056,10,39,0.69,11.8,5
0.635,0.1,0.08,16,33,0.69,10.8,7
0.635,0.1,0.08,16,33,0.69,10.8,7
0.59,0.06,0.06,11,18,0.59,10.8,7
0.59,0.06,0.06,11,18,0.59,10.8,7
0.58,0.2,0.081,15,115,0.59,9.5,5
0.54,0.27,0.084,12,78,0.71,11,5
0.56,0,0.079,6,9,0.54,11.5,6
0.52,0.13,0.078,34,61,0.59,10.8,6
0.305,0.39,0.059,7,11,0.52,11.5,6
0.38,0.48,0.132,3,11,0.57,13.2,6
0.28,0.46,0.114,3,9,0.6,10.9,6
0.46,0.44,0.065,4,8,0.62,12.2,6
0.395,0.46,0.094,3,10,0.64,12.2,7
0.305,0.39,0.059,7,11,0.52,11.5,6
0.315,0.4,0.079,3,6,0.67,11.9,6
0.715,0.19,0.161,7,62,0.61,11,5
0.41,0.31,0.084,26,45,0.64,10.1,6
0.36,0.32,0.081,32,79,0.72,11,6
0.62,0.12,0.072,38,46,0.89,11.8,6
0.41,0.37,0.091,10,23,0.56,10.5,5
0.36,0.32,0.081,32,79,0.72,11,6
0.62,0.12,0.072,38,46,0.89,11.8,6
0.41,0.31,0.084,26,45,0.64,10.1,6
0.47,0.27,0.055,14,28,0.8,11.2,5
0.22,0.36,0.064,53,77,0.87,11,7
0.24,0.33,0.061,52,73,0.9,10.2,6
0.67,0.19,0.093,11,75,0.59,9.2,4
0.47,0.27,0.055,14,28,0.8,11.2,5
0.33,0.38,0.063,10,19,0.73,12,7
0.61,0.01,0.08,8,25,0.73,10.5,5
0.61,0.01,0.074,13,38,0.65,9.8,5
0.4,0.29,0.078,29,66,0.59,9.5,6
0.61,0.01,0.074,13,38,0.65,9.8,5
0.61,0.01,0.08,8,25,0.73,10.5,5
0.3,0.38,0.06,19,72,0.72,11.8,6
0.3,0.38,0.06,19,72,0.72,11.8,6
0.63,0.5,0.071,6,26,0.6,10.4,4
0.38,0.38,0.068,23,42,0.72,12.9,7
0.46,0.17,0.073,7,11,0.54,11.4,5
0.33,0.52,0.074,13,25,0.76,12.4,7
0.27,0.49,0.082,9,17,0.52,12.5,7
0.43,0.4,0.092,13,52,0.64,10,7
0.5,0.34,0.094,10,45,0.6,9.7,7
0.3,0.49,0.09,11,24,0.64,12.1,7
0.44,0.42,0.071,7,20,0.79,11.1,7
0.44,0.58,0.092,11,24,0.99,12,7
0.28,0.48,0.093,6,12,0.62,12.4,7
0.12,0.45,0.075,10,21,0.76,11.9,7
0.12,0.45,0.075,10,21,0.76,11.9,7
0.12,0.45,0.075,10,21,0.76,11.9,7
0.28,0.48,0.093,6,12,0.62,12.4,7
0.31,0.4,0.058,6,10,0.68,11.2,7
0.34,0.48,0.052,5,9,0.69,12.1,7
0.43,0.4,0.082,6,11,0.54,12.2,6
0.21,0.52,0.09,9,23,0.67,10.4,5
0.36,0.52,0.111,5,10,0.62,11.3,6
0.37,0.52,0.088,12,51,0.58,11.1,6
0.57,0.12,0.12,25,36,0.71,11.3,7
0.59,0.05,0.089,12,32,0.61,10,5
0.47,0.27,0.058,18,38,0.85,11.1,6
0.56,0.14,0.078,7,18,0.62,9.3,5
0.57,0.02,0.115,6,16,0.69,9.5,5
0.27,0.39,0.1,20,27,0.69,11.2,6
0.47,0.27,0.058,18,38,0.85,11.1,6
0.34,0.4,0.065,24,48,0.86,11,6
0.38,0.41,0.103,6,10,0.58,11.9,7
0.66,0.2,0.097,23,113,0.48,9.2,5
0.4,0.43,0.068,29,46,0.6,12.2,6
0.56,0.09,0.079,7,22,0.61,10.2,5
0.26,0.48,0.066,6,10,0.87,10.9,6
0.26,0.48,0.066,6,10,0.87,10.9,6
0.38,0.5,0.104,6,13,0.65,11.6,7
0.34,0.44,0.079,6,12,0.63,10.7,5
0.33,0.41,0.073,7,13,0.62,12.1,7
0.41,0.3,0.083,35,72,0.52,9.4,5
0.41,0.3,0.083,35,72,0.52,9.4,5
0.59,0.29,0.109,31,119,0.5,9.1,5
0.4,0.32,0.061,9,29,0.49,11.3,7
0.45,0.49,0.075,3,6,0.63,10.4,5
0.5,0.3,0.065,8,17,0.71,10.5,6
0.86,0.26,0.079,13,28,0.62,10,5
0.52,0.32,0.07,51,70,0.82,12.9,6
0.5,0.3,0.065,8,17,0.71,10.5,6
0.45,0.49,0.075,3,6,0.63,10.4,5
0.58,0,0.064,7,11,0.58,11.3,6
0.34,0.39,0.066,3,7,0.55,11.4,7
0.36,0.3,0.08,35,70,0.5,9.4,5
0.39,0.12,0.097,19,27,0.49,9.4,5
0.295,0.4,0.073,14,21,0.51,10.9,6
0.39,0.12,0.097,19,27,0.49,9.4,5
0.34,0.28,0.082,31,68,0.48,9.4,5
0.4,0.1,0.076,30,47,0.48,9.4,6
0.34,0.28,0.082,31,68,0.48,9.4,5
0.35,0.45,0.092,20,88,0.43,9.4,5
0.6,0.06,0.079,19,41,0.62,10.1,6
0.66,0,0.087,3,11,0.63,12.8,7
0.66,0,0.087,3,11,0.63,12.8,7
0.84,0.34,0.05,4,10,0.48,9.1,6
0.69,0,0.055,7,12,0.53,12.9,6
0.43,0.3,0.062,6,12,0.72,11.5,7
0.35,0.38,0.058,31,47,0.82,10.6,7
0.29,0.33,0.063,13,27,0.84,11.7,7
0.36,0.32,0.067,4,8,0.55,12.8,7
0.43,0.29,0.081,27,45,0.54,10.3,5
0.36,0.32,0.067,4,8,0.55,12.8,7
0.29,0.33,0.063,13,27,0.84,11.7,7
0.3,0.34,0.064,12,25,0.84,11.7,7
0.35,0.4,0.11,12,24,0.7,12,7
0.5,0.36,0.116,26,55,0.68,10.9,5
0.28,0.45,0.067,7,12,0.55,12.3,7
0.32,0.31,0.088,12,19,0.55,10.4,6
1.005,0.15,0.102,11,32,0.48,10,5
0.71,0,0.092,22,31,0.58,10,6
0.58,0.16,0.12,3,7,0.58,11.2,6
0.39,0.46,0.075,14,27,0.84,11.4,6
0.38,0.4,0.068,12,28,0.75,12.6,7
0.18,0.37,0.049,36,109,0.44,12.7,6
0.18,0.37,0.049,36,109,0.44,12.7,6
0.5,0.14,0.078,10,23,0.61,10.4,5
0.36,0.66,0.123,3,8,0.53,11.9,6
0.36,0.66,0.123,3,8,0.53,11.9,6
0.51,0.09,0.062,4,9,0.54,10.5,5
0.32,0.42,0.098,3,9,0.55,12.3,6
0.58,0.01,0.088,12,18,0.56,10.5,7
0.83,0,0.095,17,43,0.6,10.4,6
0.31,0.32,0.066,14,36,0.56,12.6,6
0.795,0,0.065,28,52,0.52,11.6,5
0.34,0.21,0.075,41,68,0.54,10.1,6
0.58,0.01,0.088,12,18,0.56,10.5,7
0.59,0,0.091,9,14,0.55,11.5,7
0.55,0.01,0.093,9,15,0.58,11,7
0.82,0,0.095,5,14,0.53,9.6,5
0.57,0.08,0.089,14,27,0.59,10.4,6
0.745,0.18,0.077,15,48,0.47,9.7,6
0.37,0.34,0.085,5,17,0.65,10.6,7
0.31,0.34,0.082,26,35,0.59,12.5,7
0.91,0.1,0.074,20,56,0.56,9.2,5
0.41,0.41,0.078,25,42,0.77,12.6,7
0.5,0.21,0.088,21,39,0.83,11.1,6
0.965,0,0.088,16,32,0.67,10.2,5
0.49,0.19,0.079,13,26,0.64,9.8,6
0.5,0.21,0.088,21,39,0.83,11.1,6
0.39,0.41,0.069,18,39,0.81,10.9,7
0.39,0.33,0.046,12,53,0.62,12.2,6
0.44,0,0.07,32,38,0.58,11.4,6
0.78,0,0.076,33,45,0.62,10.7,6
0.43,0.17,0.082,27,51,0.64,10.4,5
0.49,0.36,0.081,3,14,0.78,10.9,6
0.5,0.36,0.084,6,17,0.77,10.8,6
0.43,0.17,0.082,27,51,0.64,10.4,5
0.46,0.59,0.414,16,45,1.34,9.2,5
0.605,0.05,0.073,19,25,0.55,12.9,5
0.33,0.42,0.07,9,20,0.77,12.7,7
0.64,0.27,0.095,5,77,0.62,9.1,6
0.64,0.27,0.095,5,77,0.62,9.1,6
0.48,0.53,0.101,3,10,0.59,12.1,7
0.42,0.25,0.104,28,90,0.57,9.1,5
0.53,0.57,0.093,30,52,0.76,11.6,7
0.48,0.53,0.101,3,10,0.59,12.1,7
0.23,0.57,0.074,3,8,0.7,9.9,6
0.4,0.5,0.071,7,16,0.69,12.5,8
0.38,0.44,0.098,6,15,0.64,11.4,6
0.29,0.65,0.075,6,17,0.63,11.8,6
0.74,0.09,0.067,5,10,0.57,11.8,6
0.61,0.18,0.083,6,20,0.6,10.2,6
0.52,0.08,0.07,13,26,0.72,12.5,7
0.31,0.53,0.06,3,10,0.83,10.9,7
0.31,0.53,0.06,3,10,0.83,10.9,7
0.62,0.35,0.086,28,52,0.62,10.8,5
0.33,0.45,0.057,19,37,0.89,11.1,7
0.77,0.2,0.098,30,92,0.58,9.2,5
0.35,0.26,0.083,33,75,0.58,9.5,6
0.62,0.33,0.088,16,37,0.58,10.7,6
0.77,0.2,0.098,30,92,0.58,9.2,5
0.25,0.34,0.071,45,67,0.86,10.2,7
0.32,0.56,0.073,3,8,0.73,11.4,6
0.37,0.65,0.08,3,8,0.58,11,5
0.37,0.65,0.08,3,8,0.58,11,5
0.3,0.68,0.05,37.5,278,0.51,12.3,7
0.27,0.56,0.047,3,8,0.51,11.8,6
0.3,0.68,0.05,37.5,289,0.51,12.3,7
0.38,0.3,0.073,31,70,0.59,9.5,6
0.42,0.45,0.072,32,59,0.77,12,6
0.38,0.3,0.073,31,70,0.59,9.5,6
0.48,0.08,0.074,40,64,0.49,9.6,5
0.34,0.4,0.055,3,9,0.66,11.6,7
0.19,0.42,0.057,18,30,0.69,11.2,6
0.41,0.54,0.095,22,41,0.76,9.9,7
0.41,0.54,0.095,22,41,0.76,9.9,7
0.26,0.54,0.083,42,74,0.63,11.8,8
0.34,0.42,0.086,8,19,0.6,11.4,6
0.54,0.09,0.081,10,16,0.59,11.5,6
0.31,0.36,0.079,11,31,0.86,12,7
0.725,0.09,0.117,9,17,0.49,10.8,6
0.4,0.47,0.087,6,20,0.5,10.5,5
0.725,0.09,0.117,9,17,0.49,10.8,6
0.52,0.38,0.096,5,18,0.52,9.4,5
0.31,0.45,0.216,5,16,0.81,12.5,7
0.52,0.38,0.096,5,18,0.52,9.4,5
0.34,0.42,0.072,23,36,0.78,12.4,6
0.49,0.27,0.071,14,25,0.63,12,6
0.48,0.09,0.078,18,30,0.54,11.2,6
0.49,0.27,0.071,14,25,0.63,12,6
0.48,0.34,0.073,16,25,0.66,12.4,6
0.57,0.28,0.048,13,49,0.6,12.8,5
0.23,0.42,0.069,9,17,0.54,12.3,6
0.3,0.41,0.068,10,24,0.85,11.7,7
0.78,0.1,0.09,4,13,0.49,9.5,5
0.47,0.43,0.171,27,66,0.76,10.8,6
0.53,0,0.07,6,14,0.64,10,6
0.42,0.27,0.092,23,55,0.64,12.3,7
0.33,0.41,0.056,6,35,0.71,11,6
0.24,0.39,0.074,3,10,0.59,9.5,6
0.4,0.5,0.046,29,80,0.66,13.6,6
0.69,0.07,0.091,15,21,0.6,11.3,6
0.69,0.07,0.091,15,21,0.6,11.3,6
0.69,0.07,0.091,15,21,0.6,11.3,6
0.39,0.12,0.065,14,24,0.53,13.3,6
0.66,0,0.066,7,15,0.58,12.9,5
0.54,0.34,0.076,8,17,0.72,13.1,8
0.5,0,0.062,21,28,0.55,12.3,6
0.47,0,0.055,27,33,0.48,12.3,6
0.4,0.37,0.081,17,29,0.65,11.2,6
0.58,0,0.096,3,13,0.62,11.5,4
0.24,0.35,0.055,13,27,0.59,11.3,7
0.29,0.26,0.063,3,11,0.54,13.5,6
0.76,0,0.072,26,52,0.6,11.5,6
0.43,0.33,0.095,28,89,0.68,10,5
0.43,0.35,0.092,24,70,0.69,10.5,6
0.6,0,0.058,5,10,0.63,10.4,6
0.19,0.21,0.045,57,135,0.44,9.5,5
0.36,0.34,0.075,18,38,0.88,13.6,7
0.48,0.07,0.089,10,18,0.68,11.2,7
0.28,0.35,0.061,6,15,0.74,11.8,7
0.25,0.43,0.067,22,50,0.6,11.9,6
0.52,0.45,0.08,6,13,0.76,11.4,6
0.52,0.45,0.08,6,13,0.76,11.4,6
0.41,0.15,0.104,29,94,0.58,9.1,5
0.51,0.24,0.079,16,86,0.64,9.5,6
0.4,0.3,0.08,33,79,0.65,9.5,6
0.38,0.32,0.08,24,71,0.85,11,6
0.45,0.11,0.043,6,12,0.65,11.4,6
0.22,0.3,0.065,16,20,0.82,10,6
0.32,0.23,0.066,35,70,0.62,10.1,5
0.2,0.43,0.076,31,51,0.81,10.4,6
0.5,0.12,0.178,6,21,0.87,9.8,6
0.41,0.45,0.071,6,14,0.49,11.8,7
0.39,0.42,0.086,9,21,0.66,11.6,6
0.35,0.47,0.061,6,11,0.52,12,6
0.33,0.32,0.067,4,12,0.76,12.8,7
0.58,0.23,0.044,16,70,0.65,12.5,6
0.6,0.25,0.118,9,38,0.53,9.8,5
0.42,0.35,0.083,17,38,0.66,11.1,6
0.58,0,0.1,50,63,0.68,11.4,6
0.6,0.25,0.118,9,38,0.53,9.8,5
0.18,0.51,0.071,45,88,0.76,11.8,7
0.51,0.18,0.042,16,101,0.87,12.9,7
0.41,0.43,0.076,22,54,1.16,10.6,6
0.41,0.43,0.11,11,37,0.67,10.8,5
0.36,0.57,0.087,6,20,0.72,11.1,7
0.45,0.43,0.076,12,21,0.75,10.2,6
0.32,0.42,0.075,12,19,0.71,11.8,7
0.785,0.24,0.078,10,21,0.67,10,5
0.785,0.24,0.078,10,21,0.67,10,5
0.44,0.5,0.369,15,38,1.1,9.4,5
0.54,0.26,0.111,7,60,0.98,10.2,5
0.33,0.39,0.074,29,48,0.88,12.4,7
0.34,0.27,0.067,8,44,0.56,12,6
0.5,0.29,0.086,5,14,0.62,11.5,6
0.36,0.34,0.062,5,12,0.67,10.5,6
0.59,0,0.078,26,44,0.68,10.8,6
0.42,0.46,0.074,5,16,0.74,12.3,6
0.36,0.31,0.079,26,65,0.62,9.5,6
0.36,0.31,0.079,26,65,0.62,9.5,6
0.61,0,0.095,48,59,0.7,11.5,6
0.88,0.03,0.079,23,47,0.5,11.2,4
0.66,0,0.052,6,11,0.66,12.7,7
0.915,0,0.041,17,78,0.73,11.4,5
0.35,0.33,0.076,11,47,0.81,11,6
0.35,0.33,0.076,11,47,0.81,11,6
0.39,0.43,0.068,5,11,0.46,11.4,5
0.4,0.4,0.068,41,54,0.86,10.5,6
0.66,0.07,0.07,16,61,0.6,9.3,5
0.64,0.23,0.08,11,119,0.7,10.9,5
0.43,0.3,0.085,6,39,0.46,11.9,6
0.8,0.03,0.079,6,12,0.5,12.2,5
0.43,0.3,0.085,6,39,0.46,11.9,6
0.64,0.23,0.08,11,119,0.7,10.9,5
0.955,0.05,0.075,5,19,0.44,9.6,4
0.4,0.57,0.08,6,20,0.57,12.5,6
0.885,0,0.166,6,12,0.51,10.8,5
0.25,0.37,0.063,11,41,0.8,12.4,7
0.885,0,0.166,6,12,0.51,10.8,5
0.745,0.12,0.114,15,64,0.59,9.5,6
0.43,0.22,0.078,21,56,0.6,9.5,6
0.58,0.23,0.076,23,94,0.58,9.5,6
0.57,0.21,0.069,4,9,0.54,9.8,6
0.26,0.26,0.052,19,77,0.79,10.9,6
