volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,sulphates,alcohol,quality
0.58,0.23,0.076,23,94,0.58,9.5,6
0.57,0.21,0.069,4,9,0.54,9.8,6
0.34,0.36,0.065,5,10,0.54,11.2,7
0.42,0.39,0.068,6,12,0.69,11.7,8
0.74,0.19,0.111,33,76,0.55,9.4,5
0.36,0.46,0.074,24,44,0.85,11,7
0.36,0.46,0.074,24,44,0.85,11,7
0.36,0.46,0.074,24,44,0.85,11,7
0.72,0.55,0.136,24,52,0.94,10,5
0.36,0.46,0.074,24,44,0.85,11,7
0.39,0.43,0.071,14,24,0.87,11.2,7
0.65,0.02,0.078,8,15,0.62,10.4,6
0.44,0.15,0.076,22,53,0.62,9.3,5
0.65,0.02,0.078,8,15,0.62,10.4,6
0.38,0.42,0.071,5,13,0.75,10.5,6
0.33,0.46,0.081,6,9,0.48,10.4,6
0.27,0.46,0.095,20,29,0.56,11.3,6
0.57,0.31,0.079,10,79,0.69,9.5,6
0.34,0.37,0.057,43,74,0.81,12,6
0.4,0.31,0.082,8,24,0.69,10.6,6
0.39,0.4,0.044,25,50,0.83,10.9,6
0.32,0.52,0.132,17,44,0.77,11.5,6
0.32,0.52,0.132,17,44,0.77,11.5,6
0.53,0.22,0.078,33,89,0.46,9.6,6
0.36,0.47,0.074,9,23,0.76,12,6
0.39,0.49,0.08,8,20,0.82,10.3,6
0.46,0.23,0.091,18,77,0.51,9.4,5
0.58,0.03,0.08,27,46,0.47,9.2,5
0.58,0.25,0.104,8,21,0.72,9.6,5
0.42,0,0.044,18,88,0.73,13.6,7
0.43,0.29,0.075,19,66,0.64,9.5,5
0.18,0.34,0.066,15,58,0.78,11.8,6
0.815,0.01,0.074,48,90,0.62,10.8,5
0.43,0.29,0.075,19,66,0.64,9.5,5
0.23,0.37,0.057,14,36,0.49,9.3,4
0.75,0.01,0.059,11,18,0.4,12.8,6
0.33,0.32,0.054,6,113,0.56,11.5,4
0.55,0,0.07,7,17,0.64,9.4,6
0.75,0.01,0.059,11,18,0.4,12.8,6
0.73,0,0.081,12,24,0.46,9.6,4
0.67,0,0.057,11,20,0.56,11.8,4
0.61,0.2,0.076,36,60,0.4,9.3,5
0.37,0.39,0.079,28,65,0.59,9.8,5
0.4,0.41,0.058,15,40,0.6,12.2,6
0.56,0.22,0.082,10,86,0.62,9.5,5
0.29,0.25,0.067,72,160,0.54,10.3,6
0.55,0.19,0.082,15,34,0.68,10.5,5
0.74,0.07,0.086,15,48,0.48,10,5
0.55,0.19,0.082,15,34,0.68,10.5,5
0.41,0.33,0.081,22,36,0.75,11.1,6
0.6,0.01,0.079,24,37,0.61,10.9,6
0.6,0.01,0.079,24,37,0.61,10.9,6
0.58,0.14,0.077,27,60,0.59,9.8,5
0.72,0,0.123,6,14,0.58,9.8,5
0.66,0,0.096,6,13,0.58,9.5,5
0.7,0.06,0.079,20,35,0.69,10.9,5
0.64,0.02,0.069,26,46,0.45,11,5
0.59,0.22,0.082,43,60,0.42,9.2,5
0.58,0.28,0.085,12,69,0.7,11,6
0.64,0,0.123,15,33,0.63,11.3,6
0.64,0,0.123,15,33,0.63,11.3,6
0.635,0.68,0.403,19,56,1.15,9.3,5
1.02,0,0.083,17,24,0.55,11.2,4
0.45,0.38,0.081,34,66,0.58,9.8,5
0.78,0,0.089,13,26,0.46,9.6,4
0.37,0.32,0.066,26,51,0.72,11.8,6
0.57,0.05,0.081,16,36,0.6,10.3,6
0.57,0.05,0.081,16,36,0.6,10.3,6
0.43,0.5,0.068,13,19,0.87,11.4,6
0.41,0.31,0.079,21,51,0.55,9.5,6
0.49,0.03,0.044,28,87,0.82,14,8
0.38,0.01,0.048,26,60,0.75,14,6
0.44,0.2,0.049,24,64,0.57,11.7,6
0.46,0,0.077,25,44,0.53,11.2,5
0.58,0.2,0.073,34,44,0.43,9.3,5
0.58,0.13,0.102,17,36,0.53,11.2,6
0.715,0.22,0.075,13,81,0.54,9.5,6
0.4,0.4,0.05,3,10,0.56,12,4
0.69,0,0.114,3,10,0.6,9.7,6
0.715,0.22,0.075,13,81,0.54,9.5,6
0.3,0.39,0.062,3,9,0.57,11.5,7
0.46,0.2,0.077,28,54,0.64,10.4,6
0.46,0.2,0.077,28,54,0.64,10.4,6
0.765,0,0.084,9,22,0.68,10.9,6
0.63,0.28,0.096,17,69,0.63,10.2,6
0.42,0.19,0.071,18,36,0.56,10.9,5
0.37,0.5,0.09,20,47,0.57,10.5,5
0.16,0.44,0.068,17,31,0.54,12.4,6
0.6,0.08,0.056,3,7,0.37,13,5
0.6,0.3,0.068,20,110,1.17,10.2,5
0.6,0.3,0.068,20,110,1.17,10.2,5
0.74,0,0.1,6,12,0.59,11,5
0.635,0.1,0.073,25,60,0.75,10.9,6
0.395,0.13,0.056,14,28,0.67,12.4,6
0.755,0,0.084,6,12,0.49,9.7,4
0.635,0.1,0.073,25,60,0.75,10.9,6
0.63,0,0.093,51,77.5,0.45,9.5,5
0.63,0,0.093,51,77.5,0.45,9.5,5
0.53,0.14,0.064,15,29,0.61,12.1,6
0.6,0,0.063,11,18,0.56,12.2,6
1.58,0,0.137,5,9,0.4,10.9,3
0.645,0,0.08,15,28,0.61,12.5,6
0.86,0.07,0.1,20,57,0.74,11.7,6
0.37,0.32,0.064,4,15,0.8,11.2,6
0.28,0.44,0.081,28,68,0.66,11.2,5
0.79,0.21,0.087,21,68,0.44,9.2,5
0.61,0.26,0.073,24,88,0.53,9.8,5
0.69,0.32,0.088,22,91,0.62,10.1,5
0.68,0.09,0.068,15,29,0.52,11.1,4
0.69,0.32,0.088,22,91,0.62,10.1,5
0.62,0.1,0.071,27,63,0.61,9.2,5
0.61,0.26,0.073,24,88,0.53,9.8,5
0.51,0.15,0.064,12,27,0.59,12.8,6
1.18,0.21,0.083,14,41,0.47,10.5,5
0.36,0.21,0.086,20,65,0.54,10.1,6
0.36,0.21,0.086,24,69,0.53,10.1,6
0.63,0.27,0.083,17,91,0.58,9.8,6
0.74,0,0.041,16,46,0.59,12.5,6
0.44,0.46,0.091,10,41,0.69,11.9,6
0.63,0.27,0.083,17,91,0.58,9.8,6
0.76,0.68,0.414,18,64,1.33,9.1,6
0.66,0.34,0.094,12,88,0.66,10.1,5
0.74,0,0.041,16,46,0.59,12.5,6
0.34,0.42,0.058,9,18,0.55,11.4,5
0.36,0.39,0.06,21,55,0.82,11,7
0.46,0.24,0.077,18,34,0.6,10.6,6
0.46,0.24,0.077,18,34,0.6,10.6,6
0.46,0.24,0.077,18,34,0.6,10.6,6
0.46,0.24,0.077,18,34,0.6,10.6,6
0.52,0.11,0.073,13,38,0.52,9.3,5
0.6,0.26,0.083,17,91,0.56,9.8,6
0.6,0.26,0.083,17,91,0.56,9.8,6
0.87,0.26,0.107,31,67,0.46,9.2,5
0.39,0.1,0.075,6,25,0.43,9.7,6
0.775,0.22,0.079,12,48,0.51,9.6,5
0.835,0,0.166,4,11,0.52,10,5
0.58,0.02,0.069,19,40,0.66,12.6,6
0.5,0,0.057,15,26,0.45,9.5,5
0.5,0,0.057,15,26,0.45,9.5,5
0.5,0,0.057,15,26,0.45,9.5,5
0.51,0.02,0.084,13,31,0.54,10.5,6
0.51,0.02,0.084,13,31,0.54,10.5,6
0.51,0.02,0.084,13,31,0.54,10.5,6
0.54,0.02,0.085,17,31,0.51,10.4,6
0.51,0.02,0.084,13,31,0.54,10.5,6
0.42,0.48,0.077,8,20,0.53,11,5
0.44,0.24,0.063,10,28,0.53,10.2,6
0.59,0.01,0.056,5,13,0.56,11.4,5
0.655,0.03,0.078,7,12,0.39,9.5,5
0.655,0.03,0.078,7,12,0.39,9.5,5
0.57,0,0.081,21,41,0.52,10.8,5
0.6,0.29,0.069,32,73,0.57,10,5
0.62,0.01,0.065,8,46,0.51,11.8,6
0.645,0.03,0.086,14,57,0.46,10.3,5
0.645,0.03,0.086,14,57,0.46,10.3,5
0.58,0.03,0.077,7,28,0.52,10,5
0.32,0.25,0.086,5,32,0.44,10.1,5
0.34,0.25,0.084,4,28,0.44,10.1,5
0.43,0.24,0.078,27,67,0.59,11.1,6
0.64,0.17,0.168,52,98,0.5,9.5,5
0.475,0.4,0.091,6,28,0.65,10.03333333,6
0.54,0.31,0.112,11,38,0.56,10.9,5
0.85,0.14,0.093,13,54,0.54,10.1,5
0.475,0.4,0.091,6,28,0.65,10.03333333,6
0.83,0.27,0.08,11,63,0.48,9.8,4
0.605,0.02,0.096,10,31,0.53,11.8,6
0.5,0.09,0.115,10,42,0.62,9.5,5
0.74,0.08,0.094,10,45,0.5,9.8,5
0.54,0.3,0.088,9,105,1.18,10.5,6
0.77,0.32,0.079,16,74,0.5,9.8,6
0.61,0,0.069,4,8,0.37,10.4,4
0.78,0.51,0.415,12,66,1.17,9.2,5
0.58,0.56,0.153,5,14,1.03,11.6,6
0.78,0.51,0.415,12,66,1.17,9.2,5
0.75,0.27,0.11,34,89,0.45,9.3,5
0.815,0,0.267,16,29,0.51,9.8,3
0.56,0.26,0.083,13,100,0.52,9.9,5
0.885,0.2,0.086,7,31,0.46,10,5
0.49,0.26,0.09,23,74,0.62,12.2,6
0.45,0.15,0.078,10,28,0.51,9.9,6
0.57,0.02,0.077,11,35,0.62,10.8,6
0.57,0.02,0.077,11,35,0.62,10.8,6
0.83,0.09,0.074,4,25,0.45,9.6,5
0.6,0.22,0.08,25,105,0.49,9.9,5
0.6,0.22,0.08,25,105,0.49,9.9,5
0.755,0.15,0.107,20,84,0.5,9.5,5
0.81,0.25,0.076,34,85,0.42,9.2,5
0.64,0.07,0.1,8,23,0.58,9.6,5
0.64,0.07,0.1,8,23,0.58,9.6,5
0.64,0.31,0.083,7,49,0.68,10.3,5
0.48,0.02,0.08,36,111,0.53,9.7,5
0.49,0,0.068,15,33,0.59,12.5,6
0.64,0.22,0.094,5,33,0.58,11,5
0.62,0.06,0.07,5,12,0.48,9.8,5
0.52,0.25,0.078,19,59,0.48,10.2,5
0.57,0.14,0.07,27,73,0.48,9.2,5
0.685,0.1,0.092,3,12,0.65,9.55,6
0.675,0.1,0.09,4,11,0.65,9.55,5
0.59,0.26,0.08,17,104,0.52,9.9,5
0.6,0.12,0.083,13,28,0.62,10.2,7
0.67,0,0.068,10,24,0.72,11.1,6
0.69,0.21,0.08,33,141,0.51,9.9,5
0.69,0.21,0.08,33,141,0.51,9.9,5
0.3,0.42,0.052,6,24,0.82,11.9,6
0.33,0.33,0.061,3,13,1.1,10,8
0.5,0.39,0.082,12,46,0.62,10.7,6
0.28,0.3,0.062,18,34,0.9,11.3,7
0.24,0.34,0.062,8,22,0.94,10.9,6
0.51,0,0.064,40,54,0.93,10.7,6
0.29,0.36,0.048,35,53,1.01,12.4,7
0.51,0,0.064,40,54,0.93,10.7,6
0.96,0,0.082,5,16,0.44,11.9,6
0.47,0.4,0.071,8,19,0.73,10.6,6
0.24,0.34,0.062,8,22,0.94,10.9,6
0.57,0.25,0.104,12,89,0.9,10.1,5
0.32,0.59,0.077,3,15,0.78,9.6,5
0.58,0,0.065,8,18,0.84,9.4,5
0.32,0.59,0.077,3,15,0.78,9.6,5
0.34,0.33,0.064,21,37,0.77,12.1,7
0.53,0.01,0.077,3,19,0.46,9.8,5
0.64,0.21,0.077,32,133,0.45,9.9,5
0.53,0.01,0.077,3,19,0.46,9.8,5
0.4,0.18,0.079,24,58,0.58,9.4,5
0.54,0,0.079,39,55,0.84,11.4,6
0.53,0.09,0.123,14,31,0.67,11,4
0.26,0.37,0.076,8,23,0.7,9.6,6
0.26,0.37,0.076,8,23,0.7,9.6,6
0.23,0.37,0.046,23,60,0.71,12.1,6
0.41,0.33,0.078,6,23,0.58,11.2,5
0.64,0,0.072,27,55,0.63,11,5
0.18,0.4,0.049,38,67,0.93,11.3,5
0.41,0.24,0.066,18,47,0.62,10.4,5
0.43,0.31,0.069,13,74,0.54,9.9,6
0.44,0,0.042,3,11,0.85,11.7,6
0.4,0.16,0.069,11,25,0.74,10.1,7
0.54,0.37,0.214,55,95,0.77,9,6
0.54,0.37,0.214,55,95,0.77,9,6
0.38,0.38,0.169,27,90,0.65,8.5,5
0.915,0.29,0.07,15,39,0.54,11.1,5
0.59,0,0.052,3,8,0.47,10.3,5
0.67,0.02,0.072,31,92,0.68,11.06666667,6
0.37,0.32,0.062,15,28,0.73,11.3,7
0.785,0.19,0.094,19,98,0.52,9.566666667,6
0.63,0.02,0.078,18,30,0.75,9.8,5
0.58,0.2,0.058,8,22,0.49,11.7,5
0.67,0.02,0.072,31,92,0.68,11.1,6
0.785,0.19,0.094,19,98,0.52,9.6,6
0.63,0.02,0.078,18,30,0.75,9.8,5
0.67,0,0.08,22,39,0.74,9.7,5
0.58,0.01,0.08,40,54,0.73,9.7,5
0.38,0.31,0.056,15,29,0.76,11.3,8
0.37,0.32,0.062,15,28,0.73,11.3,7
0.32,0.44,0.104,8,17,0.78,11,7
0.58,0.02,0.062,37,53,0.76,11.6,7
0.49,0.33,0.074,27,85,0.58,9,5
0.45,0.63,0.073,7,23,0.69,10.9,6
0.9,0,0.052,9,17,0.63,10.9,6
0.54,0.06,0.05,38,89,0.5,10.55,6
0.49,0.33,0.074,27,85,0.58,9,5
0.29,0.4,0.067,8,20,0.6,10.5,5
0.2,0.35,0.054,7,15,0.8,11.9,7
0.42,0.09,0.054,34,64,0.68,10.4,6
0.785,0,0.06,6,13,0.61,10,4
0.64,0.03,0.075,14,31,0.58,10.4,6
0.63,0.01,0.076,14,39,0.53,10.8,6
0.59,0.1,0.063,34,53,0.67,9.7,5
0.59,0.1,0.063,34,53,0.67,9.7,5
0.48,0.32,0.062,31,54,0.65,10,7
1.04,0.08,0.067,19,32,0.57,11,4
0.48,0.32,0.062,31,54,0.65,10,7
0.98,0.05,0.061,20,49,0.55,9.7,3
0.69,0.11,0.084,8,24,0.47,9.7,5
0.7,0.08,0.067,8,16,0.52,12.6,5
0.35,0.6,0.073,23,44,0.79,11.1,6
0.6,0.08,0.071,14,45,0.54,11,5
0.5,0.5,0.205,48,82,0.75,8.8,5
0.47,0.11,0.048,16,89,0.88,13.56666667,7
0.5,0.5,0.205,48,82,0.75,8.8,5
0.47,0.11,0.048,16,89,0.88,13.6,7
0.875,0.05,0.082,3,14,0.52,10.2,3
0.28,0.6,0.104,10,22,0.68,10.6,5
0.62,0.03,0.08,6,13,0.62,10.1,4
0.28,0.6,0.104,10,22,0.68,10.6,5
0.58,0.54,0.114,3,9,0.57,10.3,4
0.33,0.44,0.042,6,12,0.61,10.7,5
0.91,0.06,0.06,4,11,0.64,10.9,4
0.655,0.16,0.074,8,25,0.55,9.7,5
0.68,0.21,0.07,9,23,0.6,10.3,5
0.64,0.05,0.066,9,17,0.78,10.6,5
0.54,0.04,0.049,5,13,0.58,11.4,5
0.57,0.1,0.048,4,11,0.76,10.8,6
0.22,0.49,0.039,8,18,0.56,12.4,6
0.54,0.04,0.049,5,13,0.58,11.4,5
0.65,0.06,0.05,6,18,0.54,11.95,5
0.54,0.26,0.089,23,147,0.59,9.7,5
0.31,0.09,0.066,15,28,0.7,10,7
0.43,0.02,0.08,15,28,0.81,10.6,6
0.54,0.26,0.089,23,147,0.59,9.7,5
0.74,0.03,0.054,7,16,0.63,11.5,6
0.895,0.04,0.068,7,13,0.58,10.8,6
0.74,0.03,0.054,7,16,0.63,11.5,6
0.725,0.04,0.076,8,15,0.53,9.6,5
0.82,0.29,0.083,21,64,0.53,9.4,5
0.585,0.18,0.078,15,60,0.54,9.8,5
0.44,0.39,0.077,6,14,0.69,11,6
0.38,0.57,0.106,5,12,0.55,11.4,6
0.76,0.02,0.078,6,12,0.63,9.95,3
0.81,0.05,0.07,6,14,0.66,10.8,6
0.38,0.57,0.106,5,12,0.55,11.4,6
0.27,0.6,0.074,17,25,0.72,10.6,6
0.18,0.4,0.062,7,20,0.7,11.1,5
0.36,0.21,0.047,26,48,0.77,9.7,6
0.69,0.04,0.068,19,27,0.67,9.8,5
0.79,0.04,0.061,11,17,0.65,10.4,6
0.56,0.15,0.078,17,65,0.6,10.5,6
0.84,0.21,0.074,16,65,0.72,9.233333333,6
0.84,0.21,0.074,16,65,0.72,9.25,6
0.32,0.25,0.071,23,58,0.97,10.6,5
0.53,0.06,0.063,29,44,0.83,10.3,6
0.47,0.46,0.114,7,20,0.63,10.5,5
0.7,0.08,0.106,14,27,0.58,10.2,5
0.53,0.06,0.063,29,44,0.83,10.3,6
0.48,0.2,0.082,9,23,0.43,9.05,4
0.32,0.25,0.071,23,58,0.97,10.6,5
0.48,0.25,0.076,29,61,0.6,10.4,5
0.42,0.19,0.075,22,47,0.78,10,6
0.48,0.08,0.064,18,34,0.64,9.7,5
0.47,0.08,0.064,18,38,0.65,9.6,6
0.53,0.07,0.071,15,24,0.66,10.8,6
0.29,0.49,0.096,21,59,0.67,10.1,6
0.69,0.08,0.063,42,52,0.6,10.2,6
0.44,0.09,0.063,9,18,0.69,11.3,6
0.705,0.1,0.081,13,28,0.66,10.2,5
0.53,0.13,0.058,18,22,0.68,9.9,6
0.39,0.3,0.074,32,84,0.61,9,5
0.56,0.14,0.064,13,29,0.62,11.7,7
0.55,0.13,0.075,15,35,0.59,9.7,6
0.53,0.08,0.077,24,45,0.68,10.3,6
0.58,0.08,0.059,20,31,0.64,10.2,6
0.64,0.09,0.081,15,26,0.63,12,5
0.39,0.32,0.065,34,60,0.78,9.9,5
0.52,0.08,0.071,11,32,0.63,11.6,6
0.25,0.29,0.054,19,49,0.76,10.9,7
0.855,0.02,0.064,29,38,0.56,10.75,6
0.44,0.42,0.064,14,19,0.57,10.4,6
0.37,0.43,0.063,12,19,0.81,11.2,7
0.63,0.33,0.059,16,28,0.64,10.1,6
0.57,0.02,0.072,17,26,0.61,10.2,5
0.6,0.1,0.048,12,26,0.51,12.1,5
0.4,0.5,0.099,19,50,0.58,10.4,5
0.36,0.3,0.074,17,24,0.7,11.4,8
0.68,0,0.087,17,26,0.53,9.5,5
0.67,0,0.083,18,27,0.54,9.4,5
0.68,0.01,0.103,32,54,0.66,11.3,6
0.735,0,0.08,18,28,0.6,9.4,5
0.855,0.02,0.062,15,23,0.6,11,6
0.56,0.17,0.065,15,24,0.68,10.55,7
0.88,0.04,0.066,12,20,0.56,9.9,5
0.855,0.02,0.062,15,23,0.6,11,6
0.63,0.33,0.235,66,115,0.56,9.5,5
0.6,0.26,0.08,31,131,0.52,9.9,5
0.6,0.26,0.08,31,131,0.52,9.9,5
0.6,0.26,0.08,31,131,0.52,9.9,5
0.695,0.13,0.076,12,20,0.54,10.1,5
0.695,0.13,0.076,12,20,0.54,10.1,5
0.695,0.13,0.076,12,20,0.54,10.1,5
0.67,0.02,0.061,26,42,0.82,10.9,6
0.16,0.64,0.059,24,52,0.71,11.2,6
0.695,0.13,0.076,12,20,0.54,10.1,5
0.56,0.13,0.077,25,42,0.59,9.2,5
0.51,0.14,0.056,15,34,0.57,11.5,6
0.36,0.53,0.23,19,35,0.93,12.4,6
0.38,0.14,0.038,15,25,0.65,11.1,6
0.69,0.32,0.069,35,104,0.51,9.5,5
0.58,0.2,0.075,15,50,0.67,12.5,6
0.31,0.78,0.074,23,92,0.48,10.5,6
0.52,0.4,0.06,12,20,0.64,11.8,6
0.3,0.63,0.081,16,29,0.78,10.8,6
0.7,0.15,0.076,13,27,0.6,11.9,6
0.67,0.15,0.118,13,20,0.67,11.3,6
0.56,0.09,0.053,24,32,0.6,11.3,5
0.35,0.33,0.068,9,26,0.6,11.9,6
0.56,0.09,0.053,24,32,0.6,11.3,5
0.715,0.1,0.053,13,27,0.5,11.9,5
0.46,0.29,0.074,32,98,0.62,9.8,5
0.32,0.44,0.061,24,34,0.8,11.6,7
0.39,0.44,0.066,22,48,0.84,11.5,6
0.31,0.41,0.065,34,60,0.85,11.4,6
0.61,0.11,0.066,18,28,0.66,10.9,6
0.66,0.33,0.068,34,102,0.78,12.8,6
0.725,0.2,0.073,29,79,0.54,9.2,5
0.55,0.15,0.077,26,35,0.82,11.6,6
0.74,0.09,0.089,16,26,0.56,11.6,6
0.51,0.13,0.076,29,40,0.75,11,6
0.62,0.08,0.068,28,38,0.82,9.5,6
0.6,0.08,0.09,32,44,0.58,10.5,5
0.55,0.1,0.062,39,51,0.76,11.2,6
0.51,0.13,0.076,29,40,0.75,11,6
0.645,0.12,0.075,32,44,0.71,10.2,5
0.31,0.47,0.067,18,42,0.66,11,6
